match_id,player_name,team_name,body_part,goalkeeper_name,goalkeeper_action,outcome,location_x,location_y,end_y,end_z,is_goal
3749493,Thierry Henry,Arsenal,Right Foot,Richard Wright,Penalty Conceded,Goal,107.9,39.7,38.1,0.2,1
3749453,Thierry Henry,Arsenal,Right Foot,Paul Robinson,Penalty Conceded,Goal,107.8,40.0,40.9,1.7,1
3749153,Thierry Henry,Arsenal,Right Foot,Mark Schwarzer,Penalty Conceded,Goal,108.0,40.1,42.6,0.1,1
3749153,Massimo Maccarone,Middlesbrough,Right Foot,Jens Lehmann,Penalty Conceded,Goal,108.0,40.1,37.3,1.8,1
3749526,Paolo Di Canio,Charlton Athletic,Right Foot,Jens Lehmann,Penalty Conceded,Goal,107.9,40.1,39.2,1.7,1
3879863,Gianpaolo Bellini,Atalanta,Right Foot,Orestis Karnezis,Penalty Conceded,Goal,108.1,40.1,37.1,1.2,1
3879825,Antonio Candreva,Lazio,Right Foot,Alberto Pelagotti,Penalty Conceded,Goal,108.0,40.0,43.3,0.5,1
3879628,M''Baye Babacar Niang,AC Milan,Right Foot,Emiliano Viviano,Penalty Conceded,Goal,108.0,40.0,39.1,2.4,1
3879628,Eder Citadin Martins,Sampdoria,Right Foot,Gianluigi Donnarumma,Penalty Conceded,Goal,108.0,40.0,42.8,0.4,1
3879699,Lorenzo Insigne,Napoli,Right Foot,Emiliano Viviano,Penalty Conceded,Goal,108.0,40.0,37.0,0.5,1
3879703,Antonio Candreva,Lazio,Right Foot,Albano Benjamín Bizzarri,Penalty Conceded,Goal,108.1,40.1,37.1,0.1,1
3879703,Alberto Paloschi,Chievo,Right Foot,Etrit Berisha,Penalty Saved,Saved,108.0,40.0,36.5,0.9,0
3879653,Josip Iličić,Fiorentina,Left Foot,Gianluigi Buffon,Penalty Conceded,Goal,108.0,40.0,43.3,1.6,1
3879632,Germán Gustavo Denis,Atalanta,Right Foot,Morgan De Sanctis,Penalty Conceded,Goal,108.1,40.1,41.7,2.1,1
3879566,Diego Perotti,Genoa,Right Foot,Orestis Karnezis,Penalty Conceded,Goal,108.0,40.0,42.8,0.2,1
3879585,Carlos Arturo Bacca Ahumada,AC Milan,Right Foot,Gianluca Pegolo,Penalty Conceded,Goal,108.0,40.0,37.0,1.2,1
3879838,Antonio Candreva,Lazio,Right Foot,Emiliano Viviano,Penalty Saved,Saved,108.0,40.0,38.2,0.8,0
3879839,Nikola Kalinić,Fiorentina,Right Foot,Gianluigi Buffon,Penalty Saved,Saved,108.1,40.1,42.9,0.5,0
3879833,Paulo Bruno Exequiel Dybala,Juventus,Left Foot,Federico Marchetti,Penalty Conceded,Goal,108.0,40.0,36.8,1.1,1
3879828,Andrea Belotti,Torino,Right Foot,Wojciech Szczęsny,Penalty Conceded,Goal,108.0,40.0,43.2,0.8,1
3879828,Francesco Totti,AS Roma,Right Foot,Daniele Padelli,Penalty Conceded,Goal,108.0,40.0,36.7,0.4,1
3879832,Franco Damián Vázquez,Palermo,Left Foot,Marco Sportiello,Penalty Conceded,Goal,108.0,40.0,43.4,1.4,1
3879832,Marco Borriello,Atalanta,Left Foot,Stefano Sorrentino,Penalty Conceded,Goal,108.1,40.1,37.3,0.4,1
3879792,Valter Birsa,Chievo,Left Foot,Emiliano Viviano,Penalty Saved,Saved,108.0,40.0,38.2,0.2,0
3879794,Mauricio Ricardo Pinilla Ferreira,Atalanta,Right Foot,Antonio Mirante,Penalty Saved,Saved,108.0,40.0,37.0,0.9,0
3879786,Gonzalo Gerardo Higuaín,Napoli,Right Foot,Stefano Sorrentino,Penalty Conceded,Goal,108.1,40.1,43.0,1.7,1
3879784,Alessio Cerci,Genoa,Left Foot,Daniele Padelli,Penalty Conceded,Goal,108.1,40.1,40.2,1.3,1
3879784,Alessio Cerci,Genoa,Left Foot,Daniele Padelli,Penalty Conceded,Goal,108.1,40.1,43.3,2.4,1
3879782,Jonathan de Guzmán,Carpi,Right Foot,Nicola Leali,Penalty Conceded,Goal,108.1,40.1,43.3,0.2,1
3879772,Ciro Immobile,Torino,Right Foot,Federico Marchetti,Shot Faced,Off T,108.0,40.0,43.5,3.8,0
3879772,Lucas Rodrigo Biglia,Lazio,Right Foot,Daniele Padelli,Penalty Conceded,Goal,108.0,40.0,36.7,0.9,1
3879754,Maximiliano Gastón López,Torino,Right Foot,Vid Belec,Penalty Saved,Saved,108.1,40.1,43.4,0.4,0
3879748,Luca Toni,Hellas Verona,Right Foot,Albano Benjamín Bizzarri,Penalty Saved,Saved,108.0,40.0,37.4,0.2,0
3879748,Sergio Pellissier,Chievo,Right Foot,Pierluigi Gollini,Penalty Conceded,Goal,108.1,40.0,43.4,0.2,1
